measure,representation,group,family,population,alpha,seed_count,mean_level,mean_baseline,mean,median,positive_seeds,ci_low,ci_high,p_value,p_margin,p_holm,margin,above_margin,below_margin,within_band
fedavg-ctk,mcndroid-static,family,dowgin,federation-wide,0.05,10,0.014669492947031793,0.017060042440503485,-0.002390549493471694,0.00042065644545302705,5,-0.015874158458670205,0.009164026211882337,0.845703125,1.0,,0.03,false,true,true
fedavg-ctk,mcndroid-static,family,dowgin,own-domain,0.05,9,0.0024715007716132765,-0.031443844936498426,0.0339153457081117,0.018882466281310295,6,0.00012601004850723883,0.08728557239665992,0.42578125,0.71484375,,0.03,false,false,false
fedavg-ctk,mcndroid-static,family,gappusin,federation-wide,0.05,10,0.30978181183133136,0.1546333909422769,0.15514842088905442,0.18588213197545805,9,0.07366264980053228,0.18682272694417887,0.00390625,0.001953125,,0.03,true,false,false
fedavg-ctk,mcndroid-static,family,gappusin,own-domain,0.05,6,0.12819582499768248,0.09330232944685168,0.03489349555083079,5.551115123125783e-17,3,-0.006944444444444452,0.11178832978974725,0.375,0.578125,,0.03,false,false,false
fedavg-ctk,mcndroid-static,family,hiddad,federation-wide,0.05,10,0.035264621450902804,0.08833766986435496,-0.05307304841345214,0.000053290700772729016,5,-0.22597346470092494,0.00040606915117830344,0.556640625,0.9951171875,,0.03,false,true,false
fedavg-ctk,mcndroid-static,family,hiddad,own-domain,0.05,8,-0.002900306076844987,0.015457505679177655,-0.018357811756022642,0.00527704485488123,4,-0.06631755810286574,0.019809998988858907,0.578125,0.9609375,,0.03,false,true,false
fedavg-ctk,mcndroid-static,family,leadbolt,federation-wide,0.05,10,0.3085061275964351,0.3552909735299739,-0.0467848459335388,-0.06257083536883244,3,-0.08319487570153786,-0.008888988409089933,0.064453125,0.9931640625,,0.03,false,true,false
fedavg-ctk,mcndroid-static,family,leadbolt,own-domain,0.05,7,0.2683802278438077,0.26111768340569197,0.007262544438115835,5.551115123125783e-17,4,-0.02938054470446494,0.04809752689117839,0.8125,0.8125,,0.03,false,false,false
fedavg-ctk,mcndroid-static,family,revmob,federation-wide,0.05,10,0.36685639889459204,0.25792375630485254,0.10893264258973959,0.12305406762638099,8,0.05009786237106771,0.17617276667251447,0.013671875,0.0322265625,,0.03,true,false,false
fedavg-ctk,mcndroid-static,family,revmob,own-domain,0.05,8,0.4100816993464052,0.18387254901960784,0.22620915032679734,0.23888888888888887,6,0.0984313725490196,0.37555555555555553,0.03125,0.01953125,,0.03,true,false,false
fedavg-ctk,mcndroid-static,priority-macro,,federation-wide,0.05,10,0.23730094405894211,0.16696493903716145,0.07033600502178064,0.08049800984033498,8,0.029398375170428502,0.10010985096531863,0.009765625,0.0322265625,,0.03,false,false,false
fedavg-ctk,mcndroid-static,priority-macro,,own-domain,0.05,9,0.16948741894204145,0.08912893872317866,0.0803584802188628,0.0783769063180828,8,0.0364520642185096,0.1359503456678401,0.01953125,0.08203125,,0.03,true,false,false
