set,learner,population,alpha,role,dose,n,mean_ctk,ci_low,ci_high,positive_seeds,evidence_class
replication-set,central,own-domain,0.05,secondary,100,10,0.15636511542300088,0.09874210613555315,0.20204643401047706,10,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,200,10,0.18461833457536908,0.12109841726531086,0.226763348394798,10,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,natural,10,0.10452310205414424,0.055273349642648795,0.15647721041765028,9,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,10,10,0.04166594521580778,0.002324239145922126,0.10227872307806704,5,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,25,10,0.12313071922916533,0.06785076413055842,0.1748138830834973,10,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,50,10,0.1646672377193178,0.09545179338059637,0.2037370243972029,9,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,100,10,0.1948868843772945,0.13273566049302707,0.23369239444903678,10,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,200,10,0.18665542946785998,0.1264394943665231,0.2245728064464221,10,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,natural,10,0.1883856147957599,0.13850576477968568,0.23705243249314806,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,10,10,0.010644313904761605,0.006145768781822689,0.01833203628303661,9,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,25,10,0.028772372142383196,0.021183641896873606,0.041738452523199215,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,50,10,0.04726842000937713,0.037629204459044,0.061160065867941045,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,100,10,0.067701745347893,0.05580749364103332,0.08517402910806612,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,200,10,0.08893939941101942,0.07290406643875197,0.11006085278763747,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,natural,10,0.06676436884760625,0.05605169992476701,0.08359927308793268,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,10,10,0.030510641163323554,0.02208087006972112,0.038979412849467356,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,25,10,0.05044660411947197,0.04229213290525252,0.06241369854925212,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,50,10,0.07503661017956557,0.05789954000103818,0.0917606127191988,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,100,10,0.11928204880688457,0.09976438095953907,0.14019939931653863,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,200,10,0.15119162351995882,0.13157586425664758,0.1774567544512614,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,natural,10,0.11088871742190923,0.08983137301424006,0.13094627225477468,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,10,10,0.05286640050113328,0.03486848642067904,0.07097451157737666,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,25,10,0.07977665947570424,0.06502901929877189,0.09248264572521286,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,50,10,0.10796246796289004,0.09011417945923567,0.12578289453693564,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,100,10,0.1494223509941311,0.12610519973626838,0.17020113501303763,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,200,10,0.17503966706296742,0.15186490664798397,0.1984799553828329,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,natural,10,0.13117979208049957,0.11237284650748165,0.15604412809107543,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,10,10,0.01581115131531387,0.009081509379129552,0.027528403328877283,9,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,25,10,0.03473996112228624,0.022428199986153703,0.049659614813736215,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,50,10,0.05206010792594397,0.0400410214582701,0.06343775914084776,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,100,10,0.08565041785103558,0.06688236806505787,0.1086528429992774,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,200,10,0.1026768540341014,0.08557876570085496,0.13297806417390584,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,natural,10,0.07607652127920718,0.05770277535192565,0.09649705437675155,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,10,10,0.027148647798373237,0.017234879050196317,0.036434415721927044,9,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,25,10,0.046550520012730565,0.0326533836235482,0.05895598255159854,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,50,10,0.07427431432480672,0.06470321321354353,0.08418359080462771,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,100,10,0.12464861086474696,0.09804750654135005,0.1532600934485957,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,200,10,0.1495163848736561,0.11834700581864299,0.1823977576927152,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,natural,10,0.08991133516737786,0.06626575231370818,0.11087048721457082,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
