set,population,alpha,cells,outcome,predictor,spearman_rho,p_value,evidence_class
replication-set,own-domain,0.05,60,placebo_eff,max-jaccard-to-known-family,0.17152027306395784,0.1900682947908707,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,trim_minus_mean,top_share,0.1346654281145032,0.3049608871264272,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,trim_minus_mean,n_peers,-0.10724840432017499,0.4147155861641788,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,trim_minus_mean,n_peers30,-0.05908515864667173,0.6538384121224566,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,trim_minus_mean,peer_rows,-0.04466653534348721,0.7347027366269921,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,med_minus_mean,top_share,0.29372100133627044,0.022739165801038914,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,med_minus_mean,n_peers,-0.14731066749652283,0.26135216254668125,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,med_minus_mean,n_peers30,-0.14705240146707915,0.2621984819487237,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,med_minus_mean,peer_rows,-0.0013786031848230268,0.9916590836485456,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,placebo_eff,centroid_distance,0.175688303217326,0.17936301197967625,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,placebo_eff,placebo_rank,-0.006910437709127722,0.9582078982205774,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,placebo_eff,nearest_known_distance,0.12630870598750868,0.3362202078194374,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,placebo_eff,fit_ratio,0.13771924365013274,0.2940224663374968,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,placebo_eff,centroid-distance-to-known-malware,0.019678222519910003,0.8813683607984808,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,placebo_eff,max-jaccard-to-known-family,0.24683318148097944,0.05726600877392526,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,trim_minus_mean,top_share,-0.16576753376926298,0.205585620360035,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,trim_minus_mean,n_peers,0.009828568884697172,0.940587059856092,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,trim_minus_mean,n_peers30,0.07481284414718059,0.569963964357043,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,trim_minus_mean,peer_rows,0.10936711911643486,0.40550339061052554,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,med_minus_mean,top_share,-0.0628416790605385,0.6333608490461223,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,med_minus_mean,n_peers,0.18054900168609708,0.1674382897933211,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,med_minus_mean,n_peers30,0.1840382087496714,0.15924314876778287,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,med_minus_mean,peer_rows,0.34302632545705203,0.0072939787675881445,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,placebo_eff,centroid_distance,0.08725485592835405,0.30009182337333923,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,placebo_eff,placebo_rank,-0.01256435716755762,0.881604871230559,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,placebo_eff,nearest_known_distance,0.17111558001713414,0.0410146301032412,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,placebo_eff,fit_ratio,0.0983144819425289,0.24273244523542226,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,placebo_eff,centroid-distance-to-known-malware,0.05543083877435145,0.5108308042745577,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,placebo_eff,max-jaccard-to-known-family,0.1593922191498306,0.057236527845069045,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,trim_minus_mean,top_share,-0.024196285461401325,0.7742286931008622,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,trim_minus_mean,n_peers,0.115527887327657,0.16944391832879466,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,trim_minus_mean,n_peers30,0.034230573291347204,0.6848421630448949,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,trim_minus_mean,peer_rows,0.03287683809345905,0.6966809766454485,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,med_minus_mean,top_share,-0.16650958396896798,0.046857358615824025,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,med_minus_mean,n_peers,0.1856283635455148,0.02644333325919655,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,med_minus_mean,n_peers30,0.16948876244358846,0.04300433273350375,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,med_minus_mean,peer_rows,0.06487891718125605,0.4413940216157378,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,placebo_eff,centroid_distance,0.03556587908954258,0.6732390596243644,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,placebo_eff,placebo_rank,-0.02021607911018886,0.8106001283418119,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,placebo_eff,nearest_known_distance,0.07038989913935206,0.4034981634077945,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,placebo_eff,fit_ratio,0.2405775548538445,0.0038003764603704196,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,placebo_eff,centroid-distance-to-known-malware,-0.06091941781414121,0.4698222617918941,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,placebo_eff,max-jaccard-to-known-family,0.16587882646633262,0.04770895199460204,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,trim_minus_mean,top_share,-0.011569990849623773,0.8909144070963007,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,trim_minus_mean,n_peers,0.09577064501723072,0.2551971340223369,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,trim_minus_mean,n_peers30,0.06110335036958782,0.4684798865793909,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,trim_minus_mean,peer_rows,-0.07102497363399393,0.3992585918411558,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,med_minus_mean,top_share,0.2123855284727652,0.010878020973135042,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,med_minus_mean,n_peers,-0.07397165341519212,0.37993696770514884,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,med_minus_mean,n_peers30,0.08112132115645466,0.33547503233295967,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,med_minus_mean,peer_rows,0.06352688410034757,0.4509900420160678,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,placebo_eff,centroid_distance,0.02164490228705767,0.7974924003153978,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,placebo_eff,placebo_rank,-0.055982323049928596,0.506628372944337,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,placebo_eff,nearest_known_distance,0.00019918032730594323,0.9981162396949095,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,placebo_eff,fit_ratio,0.01877093617047681,0.8239112183802646,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,placebo_eff,centroid-distance-to-known-malware,-0.03459524237099172,0.6816659299952051,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,placebo_eff,max-jaccard-to-known-family,0.13822718216074048,0.09968917582803417,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,trim_minus_mean,top_share,0.07391527182892638,0.38030124480454974,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,trim_minus_mean,n_peers,-0.0744239988911025,0.3770220851077373,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,trim_minus_mean,n_peers30,-0.013258874882429427,0.8751121098746716,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,trim_minus_mean,peer_rows,0.016352203562218705,0.8463006506010139,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,med_minus_mean,top_share,0.03211875837841938,0.7033428968336612,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,med_minus_mean,n_peers,-0.009201447916761845,0.9131470502018773,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,med_minus_mean,n_peers30,0.1854652951261944,0.026578445760369267,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,med_minus_mean,peer_rows,0.2459105706990594,0.0030718735429128134,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,126,placebo_eff,centroid_distance,0.027798056886904225,0.757334948815588,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,126,placebo_eff,placebo_rank,0.03761889276339527,0.6757930924247902,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,126,placebo_eff,nearest_known_distance,0.04888612184952759,0.5867156352912115,D-post-hoc-diagnostic
