set,population,alpha,client,seeds,placebo_eff_mean,placebo_eff_lo,placebo_eff_hi,ctk_minus_pl_mean,ctk_minus_pl_lo,ctk_minus_pl_hi,evidence_class
pooled-family-sets,federation-wide,0.1,play-late,8,0.0037821564372553977,-0.019773686014210413,0.024289359756461862,0.15791703094757295,0.08873444108313736,0.24398225628406178,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,anzhi,10,0.00071439878330328,-0.004590763784645247,0.007287080970649364,0.017771229855825955,0.004349945119694061,0.03553523844618711,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,appchina,10,-0.003940738360610506,-0.024477146640435286,0.012932346969542577,0.033514482821536705,0.011589709877649679,0.05729170056669192,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,play-early,10,-0.01778737237997055,-0.03382517972589431,-0.006143804572827639,0.04091828407386682,0.01187618368962626,0.073794335520394,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,play-late,8,-0.013427261810267514,-0.031989008798219316,0.011716967393558875,0.2237173100571911,0.10027560106333881,0.43176946091875423,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,anzhi,10,-0.008251396689174954,-0.029382731925234835,0.009894611318424902,0.042514642275389807,0.0033616908043915352,0.07742005205747607,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,appchina,10,0.005062205291205902,-0.018705645361539784,0.033217128101761334,0.03201852252339771,0.015279354694290785,0.05233858760369415,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,play-early,10,-0.014625177948067173,-0.06215195298870375,0.005854728957718373,0.07421862947086331,0.05813848750657742,0.0993564266751264,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,play-late,8,-0.06410971972673407,-0.18686151192790168,0.021457260035528725,0.31916419708059157,0.1929226589544681,0.4590869796675076,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,anzhi,10,-0.01739416331180415,-0.04910629319136997,-0.00023494830598298929,0.2387682470901576,0.14148213449410468,0.3230546560479736,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,appchina,10,-0.017492678932875615,-0.04908685925132879,0.0014975484243376265,0.10922999829988918,0.06315402163374698,0.18814512529288469,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,play-early,10,0.005175160838608905,-0.008276785623608365,0.014289329647439241,0.04873247709431978,0.021999330488118442,0.07172893432719704,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,play-late,8,0.002117032117610376,-0.03855786617869822,0.06318794564718352,0.26484281542493904,0.15645431448099267,0.37091877897083847,D-post-hoc-diagnostic
