set,population,family,dose,seeds,mean_ctk,ci_low,ci_high,evidence_class
replication-set,own-domain,smsreg,200,8,0.05157397909558065,0.024290834783009425,0.07442116686228373,D-post-hoc-diagnostic
replication-set,own-domain,smsreg,25,8,0.010246414142079968,-0.013810823835057176,0.03713816047678753,D-post-hoc-diagnostic
replication-set,own-domain,smsreg,50,8,0.03341277756510187,0.0089876627634853,0.06167380083519325,D-post-hoc-diagnostic
replication-set,own-domain,smsreg,natural,8,0.05743631650395082,0.03149923203057636,0.08314308010736024,D-post-hoc-diagnostic
replication-set,own-domain,utchi,0,9,0.0,,,D-post-hoc-diagnostic
replication-set,own-domain,utchi,10,9,0.006172839506172839,0.0,0.024691358024691357,D-post-hoc-diagnostic
replication-set,own-domain,utchi,100,9,0.3043813615077983,0.09333759046402725,0.622091799218236,D-post-hoc-diagnostic
replication-set,own-domain,utchi,200,9,0.32771469484113164,0.1128395061728395,0.6476813221248255,D-post-hoc-diagnostic
replication-set,own-domain,utchi,25,9,0.010004257130693911,0.0,0.02852277564921243,D-post-hoc-diagnostic
replication-set,own-domain,utchi,50,9,0.02405278842060451,0.0,0.1011068539804172,D-post-hoc-diagnostic
replication-set,own-domain,utchi,natural,9,0.1000931656678783,-0.031239316239316237,0.46485812028223106,D-post-hoc-diagnostic
replication-set,own-domain,youmi,0,10,0.0,,,D-post-hoc-diagnostic
replication-set,own-domain,youmi,10,10,0.016184967936494,-0.022287872647883712,0.07348162384844278,D-post-hoc-diagnostic
replication-set,own-domain,youmi,100,10,0.0416850668293887,0.007115971559764759,0.09592784858685412,D-post-hoc-diagnostic
replication-set,own-domain,youmi,200,10,0.03495406742494728,0.0013753106557940803,0.10163250162812724,D-post-hoc-diagnostic
replication-set,own-domain,youmi,25,10,-0.0019295679141932837,-0.03866317709697778,0.026808814575612194,D-post-hoc-diagnostic
replication-set,own-domain,youmi,50,10,0.015674830949600628,-0.008740464219671413,0.05264248087014494,D-post-hoc-diagnostic
replication-set,own-domain,youmi,natural,10,0.03110185366686575,0.004845201782661819,0.06696742059718408,D-post-hoc-diagnostic
