set,population,alpha,family,cells,placebo_eff,ctk_minus_pl,ctk_mean,ctk_trim,ctk_med,trim_minus_mean,med_minus_mean,n_peers,n_peers30,top_share,peer_rows,evidence_class
replication-set,federation-wide,0.1,inmobi,10,0.008088191755615027,0.12057754311329032,0.12866573486890534,0.12540162918026457,0.10376969591947346,-0.0032641056886407727,-0.024896038949431876,2.0,0.7,0.8633814440439119,59.4,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,kuguo,10,-0.014178414727801524,0.026293920400298522,0.012115505672496996,0.020813163876058294,0.058618962820457234,0.008697658203561298,0.04650345714796024,1.8,1.3,0.9208569439076241,801.3,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,smsreg,10,-0.0073891981152898025,0.060521067434790535,0.05313186931950074,0.04647828846991532,0.052046517958212114,-0.006653580849585411,-0.0010853513612886112,2.9,1.6,0.7146887303292393,304.0,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,utchi,10,-0.01632302405498282,0.5379115101187505,0.5215884860637677,0.44786288749280834,0.39347703244265486,-0.0737255985709594,-0.12811145362111284,1.0,1.0,1.0,51.8,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,youmi,10,-0.008949183313605603,0.07011906945885246,0.061169886145246856,0.0783274047002799,0.10389349277896498,0.017157518555033047,0.04272360663371811,2.6,1.2,0.9172296064615413,162.2,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,zdtad,3,0.0003261058939860358,-0.05491270882442193,-0.0545866029304359,-0.033351332703355406,-0.030935321109915,0.021235270227080494,0.023651281820520897,1.0,1.0,1.0,136.0,D-post-hoc-diagnostic
replication-set,own-domain,0.01,dnotua,6,-0.004231965721664618,-0.08465692316722427,-0.0888888888888889,-0.004496096730645068,-0.003961965134706814,0.08439279215824384,0.0849269237541821,2.8333333333333335,0.3333333333333333,0.8033527570750495,106.5,D-post-hoc-diagnostic
replication-set,own-domain,0.01,domob,7,0.002313908019348088,0.01198116673570013,0.014295074755048221,0.04529775145667347,-0.007313334690601388,0.031002676701625244,-0.021608409445649606,1.4285714285714286,0.7142857142857143,0.9716580846309429,80.85714285714286,D-post-hoc-diagnostic
replication-set,own-domain,0.01,inmobi,9,0.019133034341863933,0.17332998939140762,0.19246302373327154,0.1576488071252029,0.14672226919428263,-0.03481421660806863,-0.0457407545389889,2.0,0.6666666666666666,0.8655308603546015,53.888888888888886,D-post-hoc-diagnostic
replication-set,own-domain,0.01,kuguo,10,-0.029130465718497006,0.03230482161179779,0.0031743558933007877,0.02174209467327765,-0.014989200644389957,0.01856773877997686,-0.018163556537690743,1.8,1.3,0.9208569439076241,801.3,D-post-hoc-diagnostic
replication-set,own-domain,0.01,smsreg,8,-0.02045184933607818,0.01846738801059792,-0.0019844613254802615,0.007756074082121261,-0.016437243979970755,0.009740535407601524,-0.014452782654490489,2.875,1.5,0.7458101162771059,281.125,D-post-hoc-diagnostic
replication-set,own-domain,0.01,utchi,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.8,D-post-hoc-diagnostic
replication-set,own-domain,0.01,youmi,10,0.0007518242982295715,0.0003806675697532352,0.0011324918679828067,0.023874956658802494,0.0221168208256733,0.022742464790819688,0.020984328957690493,2.6,1.2,0.9172296064615413,162.2,D-post-hoc-diagnostic
replication-set,own-domain,0.05,dnotua,6,-0.028041908786758232,-0.008333333333333331,-0.036375242120091564,-0.043782649527498996,-0.0039678347126841556,-0.007407407407407428,0.032407407407407406,2.8333333333333335,0.3333333333333333,0.8033527570750495,106.5,D-post-hoc-diagnostic
replication-set,own-domain,0.05,domob,7,0.01692995653964845,0.04561700065512363,0.06254695719477207,0.07024044110229319,0.010676334540292086,0.007693483907521119,-0.05187062265447998,1.4285714285714286,0.7142857142857143,0.9716580846309429,80.85714285714286,D-post-hoc-diagnostic
replication-set,own-domain,0.05,inmobi,9,-0.00893970270489975,0.1562100347474741,0.14727033204257436,0.1660233670921919,0.1836029649610709,0.018753035049617523,0.036332632918496525,2.0,0.6666666666666666,0.8655308603546015,53.888888888888886,D-post-hoc-diagnostic
replication-set,own-domain,0.05,kuguo,10,-0.0005631996926504623,-0.004652930655896587,-0.005216130348547049,-0.03827755690720656,0.002389211410188463,-0.0330614265586595,0.007605341758735512,1.8,1.3,0.9208569439076241,801.3,D-post-hoc-diagnostic
replication-set,own-domain,0.05,smsreg,8,-0.05739486165583116,0.09126940373819128,0.03387454208236012,0.004868955885739861,0.037905509617106994,-0.029005586196620258,0.004030967534746872,2.875,1.5,0.7458101162771059,281.125,D-post-hoc-diagnostic
replication-set,own-domain,0.05,utchi,10,0.021296296296296296,0.0,0.021296296296296296,0.0,0.3550462794147438,-0.021296296296296296,0.3337499831184475,1.0,1.0,1.0,51.8,D-post-hoc-diagnostic
replication-set,own-domain,0.05,youmi,10,-0.013808099056801257,0.04142319200782282,0.027615092951021564,0.037906353060395234,0.04957524107710433,0.010291260109373673,0.02196014812608276,2.6,1.2,0.9172296064615413,162.2,D-post-hoc-diagnostic
replication-set,own-domain,0.1,dnotua,6,0.01889978213507626,-0.018635651126095814,0.0002641310089804468,0.01693079767564711,-0.02779417806918505,0.016666666666666663,-0.028058309078165495,2.8333333333333335,0.3333333333333333,0.8033527570750495,106.5,D-post-hoc-diagnostic
replication-set,own-domain,0.1,domob,7,0.012820595332691889,0.12024532960163392,0.1330659249343258,0.1676273006567551,0.06813539054986792,0.0345613757224293,-0.06493053438445788,1.4285714285714286,0.7142857142857143,0.9716580846309429,80.85714285714286,D-post-hoc-diagnostic
replication-set,own-domain,0.1,inmobi,9,-0.010184761536509539,0.14402229542736045,0.13383753389085093,0.145103786260847,0.11749178251942924,0.011266252369996097,-0.016345751371421673,2.0,0.6666666666666666,0.8655308603546015,53.888888888888886,D-post-hoc-diagnostic
replication-set,own-domain,0.1,kuguo,10,-0.02206892829649233,-0.009591191050819948,-0.03166011934731228,0.006591575108181147,0.021342444470736865,0.038251694455493424,0.053002563818049145,1.8,1.3,0.9208569439076241,801.3,D-post-hoc-diagnostic
replication-set,own-domain,0.1,smsreg,8,-0.025715010245203528,0.07546474895120525,0.04974973870600172,0.03102604995960242,0.057727831246705476,-0.0187236887463993,0.007978092540703759,2.875,1.5,0.7458101162771059,281.125,D-post-hoc-diagnostic
replication-set,own-domain,0.1,utchi,10,-0.018924302788844622,0.6775015793879089,0.6585772765990642,0.5730896406765887,0.4481899969413491,-0.08548763592247552,-0.2103872796577151,1.0,1.0,1.0,51.8,D-post-hoc-diagnostic
replication-set,own-domain,0.1,youmi,10,-0.014441373865704038,0.058602234827062026,0.04416086096135799,0.07122602233362861,0.08234114711893264,0.027065161372270625,0.038180286157574655,2.6,1.2,0.9172296064615413,162.2,D-post-hoc-diagnostic
