representation,seed,arm,client,family,n_benign,n_pos,threshold,cal_recall,cal_fpr,eq_recall,stored_recall,stored_fpr,stored_trials,evidence_class
lamda-static,335,fedavg__peer-present,anzhi,gappusin,1697,583,4.568551540374756,0.241852487135506,0.0648202710665881,0.18181818181818182,0.241852487135506,0.0648202710665881,583,D-post-hoc-diagnostic
lamda-static,335,fedavg__peer-present,appchina,adwo,2170,387,3.124974250793457,0.3049095607235142,0.047926267281105994,0.31266149870801035,0.3049095607235142,0.047926267281105994,387,D-post-hoc-diagnostic
lamda-static,335,fedavg__peer-present,anzhi,leadbolt,1697,575,4.568551540374756,0.4591304347826087,0.0648202710665881,0.3791304347826087,0.4591304347826087,0.0648202710665881,575,D-post-hoc-diagnostic
lamda-static,335,fedavg__peer-present,appchina,revmob,2170,506,3.124974250793457,0.3675889328063241,0.047926267281105994,0.4189723320158103,0.3675889328063241,0.047926267281105994,506,D-post-hoc-diagnostic
lamda-static,335,fedavg__peer-present,play-late,hiddad,44322,270,-0.6832118034362793,0.4111111111111111,0.045282252605929336,0.4222222222222222,0.4111111111111111,0.045282252605929336,270,D-post-hoc-diagnostic
lamda-static,335,fedavg__family-absent-everywhere,appchina,dowgin,2170,3208,2.4769253730773926,0.6845386533665836,0.0456221198156682,0.7057356608478803,0.6845386533665836,0.0456221198156682,3208,D-post-hoc-diagnostic
lamda-static,335,fedavg__family-absent-everywhere,appchina,airpush,2170,1778,2.4769253730773926,0.3177727784026997,0.0456221198156682,0.4156355455568054,0.3177727784026997,0.0456221198156682,1778,D-post-hoc-diagnostic
lamda-static,335,fedavg__family-absent-everywhere,anzhi,gappusin,1697,583,4.004557132720947,0.13379073756432247,0.06894519740718916,0.07718696397941681,0.13379073756432247,0.06894519740718916,583,D-post-hoc-diagnostic
lamda-static,335,fedavg__family-absent-everywhere,appchina,adwo,2170,387,2.4769253730773926,0.26356589147286824,0.0456221198156682,0.2971576227390181,0.26356589147286824,0.0456221198156682,387,D-post-hoc-diagnostic
lamda-static,335,fedavg__family-absent-everywhere,anzhi,leadbolt,1697,575,4.004557132720947,0.08347826086956522,0.06894519740718916,0.050434782608695654,0.08347826086956522,0.06894519740718916,575,D-post-hoc-diagnostic
lamda-static,335,fedavg__family-absent-everywhere,appchina,revmob,2170,506,2.4769253730773926,0.16403162055335968,0.0456221198156682,0.16996047430830039,0.16403162055335968,0.0456221198156682,506,D-post-hoc-diagnostic
lamda-static,335,fedavg__family-absent-everywhere,play-late,hiddad,44322,270,-1.5602002143859863,0.3925925925925926,0.04212355038130048,0.4444444444444444,0.3925925925925926,0.04212355038130048,270,D-post-hoc-diagnostic
lamda-static,336,central__full-exposure,play-early,dowgin,32363,3045,-0.32929325103759766,0.9825944170771757,0.05061335475697556,0.9825944170771757,0.9825944170771757,0.05061335475697556,3045,D-post-hoc-diagnostic
lamda-static,336,central__full-exposure,anzhi,airpush,1903,1309,6.253584861755371,0.5653170359052712,0.0814503415659485,0.5049656226126814,0.5653170359052712,0.0814503415659485,1309,D-post-hoc-diagnostic
lamda-static,336,central__full-exposure,play-early,gappusin,32363,513,-0.32929325103759766,0.949317738791423,0.05061335475697556,0.949317738791423,0.949317738791423,0.05061335475697556,513,D-post-hoc-diagnostic
lamda-static,336,central__full-exposure,anzhi,adwo,1903,256,6.253584861755371,0.515625,0.0814503415659485,0.296875,0.515625,0.0814503415659485,256,D-post-hoc-diagnostic
lamda-static,336,central__full-exposure,anzhi,leadbolt,1903,586,6.253584861755371,0.5597269624573379,0.0814503415659485,0.3532423208191126,0.5597269624573379,0.0814503415659485,586,D-post-hoc-diagnostic
lamda-static,336,central__full-exposure,appchina,revmob,1969,464,6.870189189910889,0.1810344827586207,0.04418486541391569,0.1853448275862069,0.1810344827586207,0.04418486541391569,464,D-post-hoc-diagnostic
