set,population,alpha,stratum,contrast,seeds,mean,ci_low,ci_high,evidence_class
pooled-family-sets,federation-wide,0.01,multi<0.9,trim_minus_mean,10,-0.0021762535103358265,-0.016114013944643804,0.01415411854303787,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,multi<0.9,med_minus_mean,10,0.011397428116248064,-0.021507138337858608,0.03327832019438329,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,single>=0.9,ctk_mean,10,0.050631998725458184,0.02663294729117492,0.07539351470516928,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,single>=0.9,ctk_trim,10,0.041269095053087616,0.004613972206871429,0.0686928266283143,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,single>=0.9,ctk_med,10,0.10867024732310629,0.0753457307961964,0.14206631099565184,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,single>=0.9,trim_minus_mean,10,-0.009362903672370568,-0.04506199592812955,0.015435986999779288,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,single>=0.9,med_minus_mean,10,0.05803824859764808,0.02847773702962208,0.08497409555035414,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,multi<0.9,ctk_mean,10,0.14411715462875754,0.11180238448523522,0.1699862053277086,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,multi<0.9,ctk_trim,10,0.1420222334791002,0.10983356219766696,0.1694947775537907,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,multi<0.9,ctk_med,10,0.14655980277143618,0.1059132663161331,0.17144653116657976,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,multi<0.9,trim_minus_mean,10,-0.002094921149657333,-0.012873795910094975,0.0036314458669424654,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,multi<0.9,med_minus_mean,10,0.0024426481426786514,-0.012849429201316747,0.013948728360431305,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,single>=0.9,ctk_mean,10,0.14006159624964387,0.08479377891620352,0.17612712969432096,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,single>=0.9,ctk_trim,10,0.13841860437616366,0.09100064495448999,0.17268122589207008,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,single>=0.9,ctk_med,10,0.13754565318939427,0.08950680195328023,0.18882849598086357,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,single>=0.9,trim_minus_mean,10,-0.0016429918734802013,-0.02278503186192074,0.013789485841048662,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,single>=0.9,med_minus_mean,10,-0.0025159430602496114,-0.04429934588854482,0.025102897328521025,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,multi<0.9,ctk_mean,10,0.13120276102222492,0.10446057611894874,0.15887819378104942,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,multi<0.9,ctk_trim,10,0.1277954401752725,0.09702455166231508,0.15171803462182695,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,multi<0.9,ctk_med,10,0.1281030662820203,0.09462329652398646,0.15459012254889593,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,multi<0.9,trim_minus_mean,10,-0.0034073208469524397,-0.012635216647268153,0.0053742107142688775,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,multi<0.9,med_minus_mean,10,-0.0030996947402046394,-0.026468942123045486,0.013845371438383172,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,single>=0.9,ctk_mean,10,0.008084369578065725,-0.01911829158505752,0.027552905123746002,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,single>=0.9,ctk_trim,10,0.010885122891143373,-0.010419384163220757,0.031516888625132945,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,single>=0.9,ctk_med,10,-0.006682026748494931,-0.01920888939461362,0.011983701504763805,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,single>=0.9,trim_minus_mean,10,0.002800753313077644,-0.00572620018765992,0.012128744480612318,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,single>=0.9,med_minus_mean,10,-0.01476639632656066,-0.03419224943222826,0.0029538777645594467,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,multi<0.9,ctk_mean,10,0.08966569762001247,0.044723396071773586,0.15963864882460202,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,multi<0.9,ctk_trim,10,0.07602053500175002,0.050101978051638074,0.10376705081622417,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,multi<0.9,ctk_med,10,0.10316957279842073,0.06192602463595631,0.1850696110651726,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,multi<0.9,trim_minus_mean,10,-0.013645162618262457,-0.06559768265218159,0.017450820711449738,D-post-hoc-diagnostic
