representation,group,family,population,seed,value,baseline,difference,measure
call-graph,family,leadbolt,federation-wide,337,0.7870967741935484,0.6365591397849463,0.15053763440860213,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,338,0.9401408450704225,0.8626760563380281,0.07746478873239437,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,339,0.6179775280898876,0.3693820224719101,0.2485955056179775,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,331,0.9434447300771208,0.9383033419023136,0.005141388174807249,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,332,0.7817531305903399,0.7441860465116279,0.03756708407871201,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,333,0.8,0.7464285714285714,0.0535714285714286,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,334,0.5769230769230769,0.36538461538461536,0.2115384615384615,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,337,0.6226415094339622,0.7547169811320755,-0.1320754716981133,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,338,0.9379157427937915,0.8536585365853658,0.0842572062084257,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,339,0.5365853658536586,0.3780487804878049,0.1585365853658537,central-full-exposure-recall
call-graph,family,revmob,federation-wide,330,0.2076923076923077,0.27884615384615385,-0.07115384615384615,central-full-exposure-recall
call-graph,family,revmob,federation-wide,331,0.32571428571428573,0.1523809523809524,0.17333333333333334,central-full-exposure-recall
call-graph,family,revmob,federation-wide,332,0.35714285714285715,0.30357142857142855,0.0535714285714286,central-full-exposure-recall
call-graph,family,revmob,federation-wide,333,0.23300970873786409,0.308252427184466,-0.07524271844660191,central-full-exposure-recall
call-graph,family,revmob,federation-wide,334,0.9126984126984127,0.8597883597883598,0.05291005291005291,central-full-exposure-recall
call-graph,family,revmob,federation-wide,335,0.22134387351778656,0.27865612648221344,-0.05731225296442688,central-full-exposure-recall
call-graph,family,revmob,federation-wide,336,0.2974137931034483,0.1810344827586207,0.1163793103448276,central-full-exposure-recall
call-graph,family,revmob,federation-wide,337,0.19148936170212766,0.2680851063829787,-0.07659574468085106,central-full-exposure-recall
call-graph,family,revmob,federation-wide,338,0.5367483296213809,0.45657015590200445,0.08017817371937641,central-full-exposure-recall
