experiment,family,learner,population,alpha,dose,mean_ctk,seed_count
exact-effective-dose-primary,hiddad,central,federation-wide,0.1,200,0.305877726873803,10
exact-effective-dose-primary,hiddad,central,own-domain,0.01,0,0.0,10
exact-effective-dose-primary,hiddad,central,own-domain,0.01,10,0.010388639138639133,10
exact-effective-dose-primary,hiddad,central,own-domain,0.01,25,-0.04399572649572651,10
exact-effective-dose-primary,hiddad,central,own-domain,0.01,50,0.008645798645798636,10
exact-effective-dose-primary,hiddad,central,own-domain,0.01,100,-0.013756105006105006,10
exact-effective-dose-primary,hiddad,central,own-domain,0.01,200,0.06037087912087913,10
exact-effective-dose-primary,hiddad,central,own-domain,0.05,0,0.0,10
exact-effective-dose-primary,hiddad,central,own-domain,0.05,10,-0.016423576423576426,10
exact-effective-dose-primary,hiddad,central,own-domain,0.05,25,-0.03070471195471196,10
exact-effective-dose-primary,hiddad,central,own-domain,0.05,50,0.016536796536796537,10
exact-effective-dose-primary,hiddad,central,own-domain,0.05,100,0.04325951825951825,10
exact-effective-dose-primary,hiddad,central,own-domain,0.05,200,0.02902819402819402,10
exact-effective-dose-primary,hiddad,central,own-domain,0.1,0,0.0,10
exact-effective-dose-primary,hiddad,central,own-domain,0.1,10,-0.0030118492618492754,10
exact-effective-dose-primary,hiddad,central,own-domain,0.1,25,-0.017565767565767592,10
exact-effective-dose-primary,hiddad,central,own-domain,0.1,50,0.03216061716061715,10
exact-effective-dose-primary,hiddad,central,own-domain,0.1,100,0.03980977355977354,10
exact-effective-dose-primary,hiddad,central,own-domain,0.1,200,0.00927641802641802,10
exact-effective-dose-primary,hiddad,fedavg,federation-wide,0.01,0,0.0,10
exact-effective-dose-primary,hiddad,fedavg,federation-wide,0.01,10,0.006454672119087623,10
exact-effective-dose-primary,hiddad,fedavg,federation-wide,0.01,25,0.017578425340710545,10
exact-effective-dose-primary,hiddad,fedavg,federation-wide,0.01,50,0.024146014264350125,10
exact-effective-dose-primary,hiddad,fedavg,federation-wide,0.01,100,0.03632133078356337,10
exact-effective-dose-primary,hiddad,fedavg,federation-wide,0.01,200,0.044746535262217904,10
exact-effective-dose-primary,hiddad,fedavg,federation-wide,0.05,0,0.0,10
