experiment,seed,salt,client,family,peer_recall,trials,absent_recall,full_recall,local_recall,learner,ctk_gain
large-family-set-3,305,0,play-early,baiduprotect,1.0,216,0.9953703703703703,0.9953703703703703,0.9768518518518519,fedavg,0.00462962962962965
large-family-set-3,305,0,play-late,revmob,0.7082405345211581,449,0.26948775055679286,0.7861915367483296,0.34075723830734966,fedavg,0.43875278396436523
large-family-set-3,305,0,anzhi,airpush,0.6990483743061062,2522,0.5963521015067407,0.7133227597145123,0.40523394131641555,fedavg,0.10269627279936555
large-family-set-3,305,0,anzhi,adwo,0.5150905432595574,994,0.39134808853118713,0.53420523138833,0.3953722334004024,fedavg,0.12374245472837025
large-family-set-3,305,0,anzhi,ewind,0.5257142857142857,175,0.46285714285714286,0.45714285714285713,0.4057142857142857,fedavg,0.06285714285714283
large-family-set-3,305,0,anzhi,mobwin,0.28205128205128205,78,0.16666666666666666,0.32051282051282054,0.20512820512820512,fedavg,0.11538461538461539
large-family-set-3,305,0,appchina,plankton,0.6703296703296703,182,0.6428571428571429,0.7032967032967034,0.6153846153846154,fedavg,0.027472527472527375
large-family-set-3,306,0,play-late,airpush,0.9596848934198332,2158,0.8137164040778498,0.9309545875810936,0.7469879518072289,fedavg,0.14596848934198337
large-family-set-3,306,0,anzhi,adwo,0.44036697247706424,872,0.28440366972477066,0.4334862385321101,0.3738532110091743,fedavg,0.1559633027522936
large-family-set-3,306,0,anzhi,mobwin,0.2911392405063291,79,0.17721518987341772,0.189873417721519,0.26582278481012656,fedavg,0.11392405063291139
large-family-set-3,306,0,appchina,revmob,0.32093933463796476,511,0.09784735812133072,0.3561643835616438,0.15655577299412915,fedavg,0.22309197651663404
large-family-set-3,306,0,appchina,plankton,0.6135265700483091,207,0.6231884057971014,0.6328502415458938,0.34299516908212563,fedavg,-0.009661835748792313
large-family-set-3,306,0,appchina,ewind,0.2527075812274368,277,0.26714801444043323,0.2563176895306859,0.6534296028880866,fedavg,-0.014440433212996429
large-family-set-3,306,0,appchina,baiduprotect,0.8283582089552238,134,0.8731343283582089,0.835820895522388,0.8656716417910447,fedavg,-0.04477611940298509
large-family-set-3,307,0,play-early,baiduprotect,0.958904109589041,146,0.9657534246575342,0.952054794520548,0.9383561643835616,fedavg,-0.006849315068493178
large-family-set-3,307,0,play-late,airpush,0.8381788261108064,3646,0.6634668129456939,0.8329676357652221,0.5433351618211739,fedavg,0.17471201316511253
large-family-set-3,307,0,anzhi,adwo,0.6011466011466011,1221,0.47911547911547914,0.6396396396396397,0.542997542997543,fedavg,0.12203112203112199
large-family-set-3,307,0,anzhi,ewind,0.24342105263157895,152,0.23684210526315788,0.23684210526315788,0.40789473684210525,fedavg,0.006578947368421073
large-family-set-3,307,0,anzhi,mobwin,0.19696969696969696,132,0.17424242424242425,0.2196969696969697,0.20454545454545456,fedavg,0.022727272727272707
large-family-set-3,307,0,anzhi,umpay,0.35,80,0.3,0.25,0.4,fedavg,0.04999999999999999
large-family-set-3,307,0,appchina,revmob,0.20198675496688742,604,0.09933774834437085,0.26158940397350994,0.09271523178807947,fedavg,0.10264900662251657
large-family-set-3,307,0,appchina,plankton,0.6834170854271356,199,0.5527638190954773,0.7236180904522613,0.5477386934673367,fedavg,0.1306532663316583
large-family-set-3,308,0,anzhi,airpush,0.7191227395151981,2599,0.6044632550981146,0.7191227395151981,0.394382454790304,fedavg,0.11465948441708351
large-family-set-3,308,0,anzhi,adwo,0.6583969465648855,1048,0.44274809160305345,0.6173664122137404,0.8005725190839694,fedavg,0.215648854961832
large-family-set-3,308,0,anzhi,baiduprotect,0.5822784810126582,158,0.6835443037974683,0.6582278481012658,0.36075949367088606,fedavg,-0.10126582278481011
large-family-set-3,308,0,anzhi,mobwin,0.5537190082644629,121,0.4214876033057851,0.5289256198347108,0.6611570247933884,fedavg,0.13223140495867775
large-family-set-3,308,0,appchina,revmob,0.31239388794567063,589,0.0967741935483871,0.29541595925297115,0.05602716468590832,fedavg,0.21561969439728354
large-family-set-3,308,0,appchina,plankton,0.6382978723404256,282,0.5921985815602837,0.6595744680851063,0.43617021276595747,fedavg,0.046099290780141855
