hypothesis,scope,learner,population,alpha,contrast,level,seed_count,mean,median,positive_seeds,ci_low,ci_high,alternative,null_reference,p_value,p_holm,margin,above_margin,within_band,above_noninferiority
H-CTRL-2,primary-set,fedavg,federation-wide,0.05,ctk-median-aggregation,,10,0.15591506751826584,0.15378281227265841,10,0.14230709255269974,0.17158732626305334,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
H-CTRL-2,primary-set,fedavg,own-domain,0.1,ctk-median-aggregation,,10,0.10362217339017973,0.12134447780218433,9,0.0651275760778574,0.13711956784967372,greater,0.03,0.0048828125,0.0048828125,0.03,true,false,true
H-CTRL-2,primary-set,fedavg,federation-wide,0.1,ctk-median-aggregation,,10,0.16118357040092332,0.15797174687434856,10,0.14298551620042996,0.18230983681899052,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
H-CTRL-2,replication-set,fedavg,own-domain,0.01,ctk-median-aggregation,,10,0.01839652560604822,0.006663499998595494,5,-0.0021183821257567455,0.05332026339990743,greater,0.03,0.9033203125,0.9033203125,0.03,false,false,true
H-CTRL-2,replication-set,fedavg,federation-wide,0.01,ctk-median-aggregation,,10,0.03152410558680345,0.02888409611900425,8,0.014966421555139888,0.05458873369984521,greater,0.03,0.5771484375,0.5771484375,0.03,false,false,true
H-CTRL-2,replication-set,fedavg,own-domain,0.05,ctk-median-aggregation,,10,0.11031798511809206,0.08320110351035082,10,0.06132601656548588,0.18013625631788793,greater,0.03,0.0068359375,0.013671875,0.03,true,false,true
H-CTRL-2,replication-set,fedavg,federation-wide,0.05,ctk-median-aggregation,,10,0.0980710486490646,0.08764631615440197,10,0.06033774822807114,0.13910785964671885,greater,0.03,0.0068359375,0.013671875,0.03,true,false,true
H-CTRL-2,replication-set,fedavg,own-domain,0.1,ctk-median-aggregation,,10,0.12638803738990206,0.11684518738029195,10,0.07471460613689716,0.18731259580564946,greater,0.03,0.009765625,0.009765625,0.03,true,false,true
H-CTRL-2,replication-set,fedavg,federation-wide,0.1,ctk-median-aggregation,,10,0.10744735678290347,0.08907991448277675,10,0.0632442741068247,0.15730865545628853,greater,0.03,0.009765625,0.009765625,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.01,ctk-trimmed-minus-ctk-mean,,10,-0.0030967781209917736,0.0010533307517504448,5,-0.026611337522826146,0.013420214528619356,greater,-0.03,0.0244140625,0.0244140625,0.03,false,true,true
