representation,seed,arm,n_scores,nonfinite,min,max,abs_gt_1e3,abs_gt_1e4,evidence_class
call-graph,330,central__full-exposure__dose-all,224980,0,-84436.96875,13256.5126953125,704,368,D-post-hoc-diagnostic
call-graph,330,central__peer-present__dose-all,224980,0,-70725.0546875,1814.9036865234375,651,331,D-post-hoc-diagnostic
call-graph,330,fedavg__family-absent-everywhere__dose-all,224980,0,-45950.34375,34610.1640625,518,92,D-post-hoc-diagnostic
call-graph,330,fedavg__full-exposure__dose-all,224980,0,-56004.375,44000.47265625,639,120,D-post-hoc-diagnostic
call-graph,330,fedavg__peer-present__dose-all,224980,0,-61158.39453125,65381.3359375,492,101,D-post-hoc-diagnostic
call-graph,330,local__peer-present__dose-all,224980,0,-479990.78125,198487.484375,3546,3531,D-post-hoc-diagnostic
call-graph,331,central__family-absent-everywhere__dose-all,228027,0,-158952.578125,71.88865661621094,810,755,D-post-hoc-diagnostic
call-graph,331,central__full-exposure__dose-all,228027,0,-116165.15625,2897.28857421875,834,328,D-post-hoc-diagnostic
call-graph,331,central__peer-present__dose-all,228027,0,-184564.84375,7036.2900390625,834,490,D-post-hoc-diagnostic
call-graph,331,fedavg__family-absent-everywhere__dose-all,228027,0,-53720.67578125,25589.62890625,633,91,D-post-hoc-diagnostic
call-graph,331,fedavg__full-exposure__dose-all,228027,0,-90825.703125,29634.248046875,691,160,D-post-hoc-diagnostic
call-graph,331,fedavg__peer-present__dose-all,228027,0,-109674.3828125,12053.4541015625,774,102,D-post-hoc-diagnostic
call-graph,331,local__peer-present__dose-all,228027,0,-418659.46875,356214.65625,3546,3522,D-post-hoc-diagnostic
call-graph,332,central__family-absent-everywhere__dose-all,224773,0,-250001.203125,3129.63671875,675,386,D-post-hoc-diagnostic
call-graph,332,central__full-exposure__dose-all,224773,0,-239094.359375,9777.7978515625,818,335,D-post-hoc-diagnostic
call-graph,332,central__peer-present__dose-all,224773,0,-170771.453125,6313.24658203125,827,563,D-post-hoc-diagnostic
call-graph,332,fedavg__family-absent-everywhere__dose-all,224773,0,-46142.0546875,31912.287109375,661,56,D-post-hoc-diagnostic
call-graph,332,fedavg__full-exposure__dose-all,224773,0,-37947.81640625,72333.28125,802,151,D-post-hoc-diagnostic
call-graph,332,fedavg__peer-present__dose-all,224773,0,-68984.796875,59304.40234375,887,104,D-post-hoc-diagnostic
call-graph,332,local__peer-present__dose-all,224773,0,-345695.40625,126214.9375,3962,3875,D-post-hoc-diagnostic
call-graph,333,central__family-absent-everywhere__dose-all,226664,0,-63552.21875,678.5957641601562,660,250,D-post-hoc-diagnostic
call-graph,333,central__full-exposure__dose-all,226664,0,-67468.8203125,2410.484619140625,645,331,D-post-hoc-diagnostic
call-graph,333,central__peer-present__dose-all,226664,0,-66373.515625,8157.10546875,625,345,D-post-hoc-diagnostic
call-graph,333,fedavg__family-absent-everywhere__dose-all,226664,0,-32812.15625,10328.1220703125,583,59,D-post-hoc-diagnostic
call-graph,333,fedavg__full-exposure__dose-all,226664,0,-50831.2734375,14563.5947265625,590,149,D-post-hoc-diagnostic
call-graph,333,fedavg__peer-present__dose-all,226664,0,-49434.203125,15961.7138671875,595,71,D-post-hoc-diagnostic
call-graph,333,local__peer-present__dose-all,226664,0,-387570.25,192552.671875,3550,3419,D-post-hoc-diagnostic
call-graph,334,central__family-absent-everywhere__dose-all,227692,0,-63537.640625,1841.87158203125,570,363,D-post-hoc-diagnostic
call-graph,334,central__full-exposure__dose-all,227692,0,-67606.078125,4469.43408203125,411,57,D-post-hoc-diagnostic
call-graph,334,central__peer-present__dose-all,227692,0,-142103.4375,10428.3515625,514,147,D-post-hoc-diagnostic
call-graph,334,fedavg__family-absent-everywhere__dose-all,227692,0,-45510.88671875,47449.83203125,536,129,D-post-hoc-diagnostic
call-graph,334,fedavg__full-exposure__dose-all,227692,0,-33480.32421875,122666.21875,557,120,D-post-hoc-diagnostic
call-graph,334,fedavg__peer-present__dose-all,227692,0,-50479.8984375,89391.0078125,524,119,D-post-hoc-diagnostic
call-graph,334,local__peer-present__dose-all,227692,0,-426829.21875,172280.234375,3639,3456,D-post-hoc-diagnostic
call-graph,335,central__family-absent-everywhere__dose-all,227945,0,-155719.96875,15266.8447265625,793,495,D-post-hoc-diagnostic
call-graph,335,central__full-exposure__dose-all,227945,0,-86114.8984375,10380.7607421875,854,242,D-post-hoc-diagnostic
call-graph,335,central__peer-present__dose-all,227945,0,-267122.21875,6856.5556640625,817,275,D-post-hoc-diagnostic
call-graph,335,fedavg__family-absent-everywhere__dose-all,227945,0,-49790.8828125,43616.24609375,668,62,D-post-hoc-diagnostic
call-graph,335,fedavg__full-exposure__dose-all,227945,0,-55415.94140625,50954.61328125,641,60,D-post-hoc-diagnostic
call-graph,335,fedavg__peer-present__dose-all,227945,0,-34367.17578125,85768.2265625,695,67,D-post-hoc-diagnostic
call-graph,335,local__peer-present__dose-all,227945,0,-521024.9375,288478.3125,3790,3751,D-post-hoc-diagnostic
call-graph,336,central__family-absent-everywhere__dose-all,227875,0,-173156.453125,7558.4677734375,856,512,D-post-hoc-diagnostic
call-graph,336,central__full-exposure__dose-all,227875,0,-169269.328125,13565.04296875,892,533,D-post-hoc-diagnostic
call-graph,336,central__peer-present__dose-all,227875,0,-246300.640625,10130.95703125,918,483,D-post-hoc-diagnostic
call-graph,336,fedavg__family-absent-everywhere__dose-all,227875,0,-32557.46484375,40608.609375,664,160,D-post-hoc-diagnostic
