measure,representation,group,family,population,alpha,seed_count,mean,ci_low,ci_high
central-full-exposure-recall,report-json,family,hiddad,federation-wide,0.05,10,0.24417699377765895,0.1683373464785174,0.3372548829595455
central-full-exposure-recall,report-json,family,hiddad,own-domain,0.05,8,0.4156023614548005,0.286418963728703,0.6409000980235019
central-full-exposure-recall,report-json,family,leadbolt,federation-wide,0.05,10,0.22957514516080374,0.15980747729147862,0.29986661529938946
central-full-exposure-recall,report-json,family,leadbolt,own-domain,0.05,7,0.2985435436910295,0.2554978384846403,0.36021501387705
central-full-exposure-recall,report-json,family,revmob,federation-wide,0.05,10,0.16873728073375643,0.11802977010513077,0.33860179876378266
central-full-exposure-recall,report-json,family,revmob,own-domain,0.05,8,0.14401960784313728,0.04859477124183006,0.3547222222222222
central-full-exposure-recall,report-json,priority-macro,,federation-wide,0.05,10,0.342875302544094,0.2894582378180673,0.4185787760981737
central-full-exposure-recall,report-json,priority-macro,,own-domain,0.05,9,0.3100151937752341,0.2497191899182195,0.410060945546624
fedavg-ctk,call-graph,contrast-macro,,federation-wide,0.05,10,0.3783653701751236,0.34064034685545513,0.4097100879968985
fedavg-ctk,call-graph,contrast-macro,,own-domain,0.05,10,0.21974461600059558,0.1731560889167175,0.31218936697530164
fedavg-ctk,call-graph,family,adwo,federation-wide,0.05,10,0.13385958238216694,0.07888036894381294,0.20393403410745606
fedavg-ctk,call-graph,family,adwo,own-domain,0.05,8,0.0622380554592272,0.02843610663075958,0.12945676561734798
fedavg-ctk,call-graph,family,airpush,federation-wide,0.05,10,0.49934525260778323,0.3980048216360734,0.5979533378523626
fedavg-ctk,call-graph,family,airpush,own-domain,0.05,10,0.2577878018515579,0.21750554493306276,0.31261692986380674
fedavg-ctk,call-graph,family,dowgin,federation-wide,0.05,10,0.10432568862968974,0.07595539479000375,0.14189193942886463
fedavg-ctk,call-graph,family,dowgin,own-domain,0.05,9,0.09472172152963969,0.045226098970548884,0.21701867213594048
fedavg-ctk,call-graph,family,gappusin,federation-wide,0.05,10,0.21043619511417333,0.15700859742638676,0.3130234772263461
fedavg-ctk,call-graph,family,gappusin,own-domain,0.05,6,0.1507528002304577,0.09804216867469874,0.18380166234558484
fedavg-ctk,call-graph,family,hiddad,federation-wide,0.05,10,0.05102748840536973,0.024702843233618696,0.0962260846288652
fedavg-ctk,call-graph,family,hiddad,own-domain,0.05,8,0.01190690662284297,-0.025649522676910452,0.04774501287335762
fedavg-ctk,call-graph,family,leadbolt,federation-wide,0.05,10,0.5314251692878977,0.43446849579122826,0.6196530032358838
fedavg-ctk,call-graph,family,leadbolt,own-domain,0.05,7,0.3167961736543795,0.2546737650997655,0.3953642386868759
fedavg-ctk,call-graph,family,revmob,federation-wide,0.05,10,0.35667044527137215,0.2582162245390182,0.4483217633608384
fedavg-ctk,call-graph,family,revmob,own-domain,0.05,8,0.299656862745098,0.16857766876942887,0.42715686274509806
fedavg-ctk,call-graph,priority-macro,,federation-wide,0.05,10,0.20604470959697174,0.16575467372409453,0.24629643100121293
