representation,group,family,population,seed,value,baseline,difference,measure
call-graph,family,leadbolt,federation-wide,339,0.5716292134831461,0.3693820224719101,0.202247191011236,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,331,0.9588688946015425,0.9383033419023136,0.020565552699228884,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,332,0.7477638640429338,0.7441860465116279,0.003577817531305927,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,333,0.8,0.7464285714285714,0.0535714285714286,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,334,0.5384615384615384,0.36538461538461536,0.17307692307692307,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,337,0.6037735849056604,0.7547169811320755,-0.15094339622641517,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,338,0.9356984478935698,0.8536585365853658,0.08203991130820398,central-full-exposure-recall
call-graph,family,leadbolt,own-domain,339,0.4878048780487805,0.3780487804878049,0.1097560975609756,central-full-exposure-recall
call-graph,family,revmob,federation-wide,330,0.17692307692307693,0.27884615384615385,-0.10192307692307692,central-full-exposure-recall
call-graph,family,revmob,federation-wide,331,0.22285714285714286,0.1523809523809524,0.07047619047619047,central-full-exposure-recall
call-graph,family,revmob,federation-wide,332,0.421875,0.30357142857142855,0.11830357142857145,central-full-exposure-recall
call-graph,family,revmob,federation-wide,333,0.21601941747572814,0.308252427184466,-0.09223300970873785,central-full-exposure-recall
call-graph,family,revmob,federation-wide,334,0.9497354497354498,0.8597883597883598,0.08994708994709,central-full-exposure-recall
call-graph,family,revmob,federation-wide,335,0.22134387351778656,0.27865612648221344,-0.05731225296442688,central-full-exposure-recall
call-graph,family,revmob,federation-wide,336,0.3081896551724138,0.1810344827586207,0.12715517241379312,central-full-exposure-recall
call-graph,family,revmob,federation-wide,337,0.2531914893617021,0.2680851063829787,-0.014893617021276617,central-full-exposure-recall
call-graph,family,revmob,federation-wide,338,0.5278396436525612,0.45657015590200445,0.07126948775055675,central-full-exposure-recall
call-graph,family,revmob,federation-wide,339,0.35195530726256985,0.08752327746741155,0.2644320297951583,central-full-exposure-recall
call-graph,family,revmob,own-domain,330,0.26666666666666666,0.3333333333333333,-0.06666666666666665,central-full-exposure-recall
call-graph,family,revmob,own-domain,331,0.2222222222222222,0.16666666666666666,0.05555555555555555,central-full-exposure-recall
call-graph,family,revmob,own-domain,332,0.2222222222222222,0.16666666666666666,0.05555555555555555,central-full-exposure-recall
call-graph,family,revmob,own-domain,333,0.3333333333333333,0.4666666666666667,-0.13333333333333336,central-full-exposure-recall
call-graph,family,revmob,own-domain,334,0.9333333333333333,0.8666666666666667,0.06666666666666665,central-full-exposure-recall
call-graph,family,revmob,own-domain,335,0.26666666666666666,0.13333333333333333,0.13333333333333333,central-full-exposure-recall
call-graph,family,revmob,own-domain,336,0.36,0.08,0.27999999999999997,central-full-exposure-recall
call-graph,family,revmob,own-domain,339,0.47058823529411764,0.17647058823529413,0.2941176470588235,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,330,0.3400701360363289,0.26322069210083043,0.07684944393549846,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,331,0.21903144763059865,0.16404121786171513,0.05499022976888349,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,332,0.4470458729766134,0.38813822736451686,0.05890764561209653,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,333,0.47680050886489317,0.5009739309688211,-0.024173422103927967,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,334,0.7879715180710205,0.8031097746772967,-0.015138256606276213,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,335,0.40228435112219635,0.4620127075144849,-0.05972835639228857,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,336,0.574103523686936,0.5558885514619548,0.01821497222498115,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,337,0.5108001199808783,0.5155326746124317,-0.004732554631553402,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,338,0.535762138701045,0.5347924604818769,0.0009696782191682777,central-full-exposure-recall
call-graph,priority-macro,,federation-wide,339,0.585567399378876,0.5617020138413881,0.023865385537488088,central-full-exposure-recall
