evidence_class,experiment,population,scope,client,family,seed_count,observations,cells,pooling_mean,pooling_ci_low,pooling_ci_high,hurt_seeds,hurts,hurts_interval_below_zero,ctk_mean,ctk_ci_low,ctk_ci_high,repair_mean,repair_ci_low,repair_ci_high,new_capability_mean,new_capability_ci_low,new_capability_ci_high,harm_mean,harm_ci_low,harm_ci_high,repair_share
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,play-early,adwo,3,3,1,0.026983834025205693,0.004822335510533275,0.06429391504018367,1,false,false,0.059134564071997686,0.018848167539267102,0.08270258782756537,0.0007301935012778612,0.0,0.0021905805038335835,0.05840437057071982,0.018848167539267102,0.08197239432628751,0.0,,,0.012347998378559684
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,play-late,hiddad,1,1,1,0.004115226337448541,,,0,false,false,0.020576131687242816,,,0.0,,,0.020576131687242816,,,0.0,,,0.0
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,play-late,leadbolt,3,3,1,0.08191625993420715,-0.03535911602209951,0.24858757062146894,1,false,false,0.3519012442676164,0.3345111381631655,0.38211382113821135,0.011786372007366505,0.0,0.03535911602209951,0.3401148722602499,0.3155060294867392,0.38211382113821135,0.0,,,0.033493408163124086
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,anzhi,gappusin,3,3,1,-0.033259648948556535,-0.08569869466936748,0.05359179019384264,2,true,false,-0.0037341309194204773,-0.015414202787339756,0.01533966398831263,0.0051132213294375435,0.0,0.01533966398831263,0.0,,,-0.00884735224885802,-0.019700551615445205,-0.002280501710376285,1.0
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,anzhi,hiddad,2,2,1,-0.223587669492624,,,1,true,false,0.025271577091597316,,,0.011705685618729103,,,0.013565891472868213,,,0.0,,,0.46319569120287274
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,appchina,revmob,5,5,1,-0.02785816321230066,-0.03713167033994524,-0.006732804232804231,4,true,true,0.23233705855725492,0.1737962962962963,0.30509643283836835,0.028228533582671033,0.008214285714285714,0.03713167033994524,0.2041085249745839,0.1544870025304808,0.2674786653012459,0.0,,,0.12149819644770386
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,appchina,airpush,2,2,1,0.06588828683397932,,,0,false,false,0.12980431771167972,,,0.0,,,0.12980431771167972,,,0.0,,,0.0
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,play-early,dowgin,3,3,1,0.3266423005916965,0.20660295395308437,0.387773418807655,0,false,false,0.010246276997234904,0.0033222591362126463,0.014177953723044126,0.0,,,0.010246276997234904,0.0033222591362126463,0.014177953723044126,0.0,,,0.0
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,play-early,leadbolt,2,2,1,-0.12794708042232794,,,2,true,false,0.28512922720843514,,,0.12794708042232794,,,0.1571821467861072,,,0.0,,,0.4487336555252404
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,anzhi,leadbolt,3,3,1,0.05199072122436943,0.04505687654555831,0.06308724832214765,0,false,false,0.17444593870578015,0.11984021304926767,0.2389261744966443,0.0,,,0.17444593870578015,0.11984021304926767,0.2389261744966443,0.0,,,0.0
