experiment,learner,condition,alpha,mean_realised_fpr,mean_worst_client_fpr,runs,valid_operating_runs,mean_fpr_deviation_from_target,evidence_class
package-only-grouping,central,full-exposure,0.01,0.0102383611930501,0.011737252151749103,10,10,0.00023836119305009965,B-confirmatory-sensitivity
package-only-grouping,central,full-exposure,0.05,0.050716750601700056,0.055632353067766815,10,10,0.000716750601700053,B-confirmatory-sensitivity
package-only-grouping,central,full-exposure,0.1,0.10176846089657546,0.1077475931889531,10,10,0.0017684608965754522,B-confirmatory-sensitivity
package-only-grouping,central,peer-present,0.01,0.010838972382639683,0.01326729586812519,10,10,0.0008389723826396824,B-confirmatory-sensitivity
package-only-grouping,central,peer-present,0.05,0.0509617992134042,0.05485693254234244,10,10,0.0009617992134041964,B-confirmatory-sensitivity
package-only-grouping,central,peer-present,0.1,0.1010732023471526,0.1070946562552805,10,10,0.0010732023471525937,B-confirmatory-sensitivity
package-only-grouping,fedavg,family-absent-everywhere,0.01,0.010877205149833171,0.013112803251313403,10,10,0.0008772051498331709,B-confirmatory-sensitivity
package-only-grouping,fedavg,family-absent-everywhere,0.05,0.05200606400061754,0.05592225734758564,10,10,0.0020060640006175356,B-confirmatory-sensitivity
package-only-grouping,fedavg,family-absent-everywhere,0.1,0.1012462109851247,0.10693275575796926,10,10,0.0012462109851246878,B-confirmatory-sensitivity
package-only-grouping,fedavg,full-exposure,0.01,0.01052226506096337,0.012304309804936773,10,10,0.000522265060963369,B-confirmatory-sensitivity
package-only-grouping,fedavg,full-exposure,0.05,0.05087673448838533,0.05491344702584977,10,10,0.0008767344883853292,B-confirmatory-sensitivity
package-only-grouping,fedavg,full-exposure,0.1,0.10149155318757914,0.10863378813729019,10,10,0.0014915531875791394,B-confirmatory-sensitivity
package-only-grouping,fedavg,peer-present,0.01,0.010667935710352204,0.01272638746456282,10,10,0.0006679357103522039,B-confirmatory-sensitivity
package-only-grouping,fedavg,peer-present,0.05,0.05137898358884602,0.054664250695742836,10,10,0.001378983588846014,B-confirmatory-sensitivity
package-only-grouping,fedavg,peer-present,0.1,0.10147445164273283,0.10926660433813953,10,10,0.001474451642732827,B-confirmatory-sensitivity
package-only-grouping,local,peer-present,0.01,0.010642756368690241,0.012907938797472606,10,10,0.0006427563686902411,B-confirmatory-sensitivity
package-only-grouping,local,peer-present,0.05,0.05071569172761044,0.05706167489105067,10,10,0.0007156917276104346,B-confirmatory-sensitivity
package-only-grouping,local,peer-present,0.1,0.10108999736072277,0.10805234800387047,10,10,0.0010899973607227664,B-confirmatory-sensitivity
partition-salt-sensitivity,central,family-absent-everywhere,0.01,0.010005880895334574,0.013574902839488515,10,30,5.880895334573616e-6,B-confirmatory-sensitivity
partition-salt-sensitivity,central,family-absent-everywhere,0.05,0.05009603631670038,0.06183400130148887,10,30,0.00009603631670037499,B-confirmatory-sensitivity
partition-salt-sensitivity,central,family-absent-everywhere,0.1,0.10147950979354006,0.12223184950867848,10,30,0.001479509793540057,B-confirmatory-sensitivity
partition-salt-sensitivity,central,full-exposure,0.01,0.009986714149955696,0.013494076939088289,10,30,-0.000013285850044304076,B-confirmatory-sensitivity
partition-salt-sensitivity,central,full-exposure,0.05,0.05078393006779543,0.06115569721015108,10,30,0.0007839300677954242,B-confirmatory-sensitivity
partition-salt-sensitivity,central,full-exposure,0.1,0.10001329420254407,0.11857900049346716,10,30,0.000013294202544061884,B-confirmatory-sensitivity
partition-salt-sensitivity,central,peer-present,0.01,0.010272909486962627,0.014146305006192239,10,30,0.00027290948696262647,B-confirmatory-sensitivity
partition-salt-sensitivity,central,peer-present,0.05,0.05000857031473976,0.060073002854459136,10,30,8.570314739754503e-6,B-confirmatory-sensitivity
partition-salt-sensitivity,central,peer-present,0.1,0.09978675900492663,0.11695611240832457,10,30,-0.00021324099507337435,B-confirmatory-sensitivity
partition-salt-sensitivity,fedavg,family-absent-everywhere,0.01,0.010038367016073269,0.013542471633554336,10,30,0.00003836701607326867,B-confirmatory-sensitivity
partition-salt-sensitivity,fedavg,family-absent-everywhere,0.05,0.05005079348581693,0.06113284385560449,10,30,0.00005079348581692872,B-confirmatory-sensitivity
partition-salt-sensitivity,fedavg,family-absent-everywhere,0.1,0.09997604144839946,0.11637118767787194,10,30,-0.000023958551600547495,B-confirmatory-sensitivity
