experiment,family,learner,local_recall,absent_recall,peer_recall,full_recall,ctk_gain,trials,seed_count,novelty,classification
package-only-grouping,hiddad,fedavg,0.2651809759810186,0.2742596442993412,0.3784347085667857,0.4164494020673831,0.10417506426744447,356.0,10,4.189897997223157,poorly-rescued-under-full-exposure
package-only-grouping,leadbolt,fedavg,0.3575177575032277,0.3410548979473632,0.6378681313403721,0.6689737507691862,0.29681323339300886,772.0,10,2.7129486906531946,rescued
package-only-grouping,revmob,fedavg,0.2625898160453428,0.188956283944151,0.5853687513020324,0.6077259343619884,0.3964124673578814,600.8,10,3.319853285343657,rescued
partition-salt-sensitivity,adwo,central,0.6362219153824149,0.5076788191147725,0.5495263348025029,0.5588504539754396,0.04184751568773042,1005.2666666666667,10,2.0631458838286605,poorly-rescued-under-full-exposure
partition-salt-sensitivity,airpush,central,0.6229676493973748,0.6219536600115616,0.7572024076430319,0.8351024831364736,0.13524874763147032,2456.9,10,2.5482840362252213,rescued
partition-salt-sensitivity,dowgin,central,0.6108367313212973,0.8226876472300959,0.843400292543843,0.852034168754295,0.020712645313747016,5989.8,10,1.88928102476,rescued
partition-salt-sensitivity,gappusin,central,0.3569856192700792,0.33116600529397056,0.40358148497843793,0.47004408109782947,0.07241547968446732,1488.3333333333333,10,1.590757471258689,poorly-rescued-under-full-exposure
partition-salt-sensitivity,hiddad,central,0.2681614431516498,0.24330437599998073,0.3158296629899049,0.31641127304019423,0.07252528698992418,386.73333333333335,10,4.189897997223157,poorly-rescued-under-full-exposure
partition-salt-sensitivity,leadbolt,central,0.33133261794396973,0.3080020517442464,0.6183993802891231,0.6396234780098312,0.31039732854487667,804.7666666666667,10,2.7129486906531946,rescued
partition-salt-sensitivity,revmob,central,0.23114194290343643,0.2047146396844241,0.5030164301581022,0.4996485805276513,0.29830179047367805,571.8,10,3.319853285343657,poorly-rescued-under-full-exposure
partition-salt-sensitivity,adwo,fedavg,0.6362219153824149,0.553650050666869,0.6524931097483359,0.6535554091404538,0.09884305908146689,1005.2666666666667,10,2.0631458838286605,rescued
partition-salt-sensitivity,airpush,fedavg,0.6229676493973748,0.6847430269625856,0.7838751083129218,0.8343241065078395,0.09913208135033638,2456.9,10,2.5482840362252213,rescued
partition-salt-sensitivity,dowgin,fedavg,0.6108367313212973,0.7621289283685394,0.7691132501542428,0.7686548650083191,0.006984321785703485,5989.8,10,1.88928102476,rescued
partition-salt-sensitivity,gappusin,fedavg,0.3569856192700792,0.30103116073332686,0.37318409805296265,0.40346437112859274,0.07215293731963586,1488.3333333333333,10,1.590757471258689,poorly-rescued-under-full-exposure
partition-salt-sensitivity,hiddad,fedavg,0.2681614431516498,0.29680010136382023,0.3571569052066996,0.36840902672367043,0.06035680384287938,386.73333333333335,10,4.189897997223157,poorly-rescued-under-full-exposure
partition-salt-sensitivity,leadbolt,fedavg,0.33133261794396973,0.3350313157511707,0.6201460433029395,0.6593371095652836,0.28511472755176887,804.7666666666667,10,2.7129486906531946,rescued
partition-salt-sensitivity,revmob,fedavg,0.23114194290343643,0.16580427116599578,0.5095949975893638,0.5382436740039555,0.34379072642336805,571.8,10,3.319853285343657,poorly-rescued-under-full-exposure
replication-family-set,dnotua,central,0.5910279083060355,0.6288176708874795,0.614204854031833,0.627254342257929,-0.01461281685564646,251.0,10,2.419425397719887,rescued
replication-family-set,domob,central,0.5505912038003664,0.4192041733274534,0.5138994451204171,0.5578345050305265,0.09469527179296375,399.4,10,1.9483153647151088,poorly-rescued-under-full-exposure
replication-family-set,inmobi,central,0.497737322095675,0.5809505181410834,0.8172971448820002,0.8314446903834037,0.2363466267409168,581.9,10,5.429826268613129,rescued
replication-family-set,kuguo,central,0.5798519341145998,0.6376525761954187,0.7182291176778206,0.7399914103004503,0.08057654148240193,3630.7,10,1.7011989592555143,rescued
replication-family-set,smsreg,central,0.5620403379451778,0.6989505342919975,0.7514051826333261,0.7731213264285788,0.05245464834132875,1274.9,10,2.8506119287438962,rescued
replication-family-set,utchi,central,0.008383844986024748,0.08542997513533479,0.44146732776915587,0.43755777405769214,0.356037352633821,518.6666666666666,6,3.097476337956543,poorly-rescued-under-full-exposure
replication-family-set,youmi,central,0.34619755987116396,0.2942907128934775,0.3466209563597479,0.35590566667642415,0.05233024346627034,666.8,10,1.5419646522965145,poorly-rescued-under-full-exposure
